Date,AAPL,ACN,AOS,ATVI,INR,KO,MMM,MSFT,PEP
2009-12-31,6.415356159210205,32.39169692993164,5.976221561431885,9.849830627441406,37.900001525878906,19.0682373046875,57.213890075683594,23.323423385620117,41.612422943115234
2010-01-04,6.515212535858154,32.83660125732422,6.144253253936768,10.018280029296875,38.54999923706055,19.081615447998047,57.45609664916992,23.683067321777344,41.9135856628418
2010-01-05,6.5264763832092285,33.03953552246094,6.065745830535889,10.036009788513184,38.54999923706055,18.850791931152344,57.09622573852539,23.690725326538086,42.4200325012207
2010-01-06,6.422663688659668,33.390769958496094,6.06850004196167,9.982816696166992,38.54999923706055,18.8441104888916,57.905941009521484,23.545333862304688,41.995697021484375
2010-01-07,6.410790920257568,33.359554290771484,6.086405277252197,9.74344253540039,38.939998626708984,18.79726791381836,57.94749450683594,23.30046272277832,41.72877502441406
2010-01-08,6.453412055969238,33.22686004638672,6.17593240737915,9.66364860534668,39.0099983215332,18.44935417175293,58.35580825805664,23.461162567138672,41.5919075012207
2010-01-11,6.396483898162842,33.195640563964844,6.147006988525391,9.654784202575684,39.60599899291992,18.82402801513672,58.120521545410156,23.16273307800293,41.54399108886719
2010-01-12,6.323722839355469,32.984893798828125,6.104311466217041,9.548394203186035,39.22999954223633,19.028093338012695,58.16893005371094,23.00969123840332,42.12575149536133
2010-01-13,6.412922382354736,33.359554290771484,6.0698771476745605,9.672514915466309,39.04999923706055,19.078264236450195,57.98208999633789,23.22395133972168,42.46794128417969
2010-01-14,6.375782012939453,33.6561393737793,6.0988030433654785,9.62818717956543,39.11000061035156,19.111726760864258,57.78828811645508,23.690725326538086,42.981258392333984
2010-01-15,6.269227981567383,33.41419219970703,6.051971435546875,9.654784202575684,38.67499923706055,18.830718994140625,57.69832992553711,23.61420440673828,42.632205963134766
2010-01-19,6.546568393707275,34.14788055419922,6.158027648925781,9.610455513000488,38.93000030517578,18.874208450317383,58.90946960449219,23.797853469848633,42.659584045410156
2010-01-20,6.445802211761475,33.96055221557617,6.192460060119629,9.592723846435547,38.61000061035156,18.566438674926758,58.63264465332031,23.407596588134766,42.399513244628906
2010-01-21,6.334376335144043,33.632747650146484,5.98035192489624,9.388812065124512,38.61399841308594,18.188417434692383,57.23463821411133,22.96378517150879,41.7082405090332
2010-01-22,6.020200252532959,32.922454833984375,5.91424036026001,9.193766593933105,38.13999938964844,18.144935607910156,56.39033126831055,22.160310745239258,41.33182907104492
2010-01-25,6.182161331176758,32.68829345703125,5.901844024658203,8.972122192382812,38.13999938964844,18.181732177734375,56.63256072998047,22.435789108276367,41.222312927246094
2010-01-26,6.269533157348633,32.649288177490234,5.83848762512207,8.874600410461426,38.2599983215332,18.111474990844727,56.49411392211914,22.573522567749023,41.236000061035156
2010-01-27,6.3285932540893555,32.72732925415039,6.061954021453857,9.184898376464844,38.34000015258789,18.235258102416992,56.95779037475586,22.703609466552734,41.26337814331055
2010-01-28,6.067083835601807,32.22779846191406,5.972014427185059,9.087377548217773,38.130001068115234,18.12485694885254,55.88509750366211,22.313344955444336,40.886962890625
2010-01-29,5.846977233886719,31.99363136291504,5.891759872436523,9.007583618164062,38.1349983215332,18.148279190063477,55.705162048339844,21.563451766967773,40.80482482910156
2010-02-01,5.9282612800598145,32.149742126464844,5.880688667297363,8.936660766601562,38.36989974975586,18.191770553588867,55.67055130004883,21.73945426940918,41.54399108886719
2010-02-02,5.9626641273498535,32.485355377197266,5.888990879058838,9.087377548217773,38.4900016784668,18.41590118408203,55.66361618041992,21.7777156829834,41.85197830200195
2010-02-03,6.065258502960205,32.469749450683594,5.9014458656311035,9.273557662963867,38.4900016784668,18.35567855834961,56.40415954589844,21.90778923034668,41.94779586791992
2010-02-04,5.846673011779785,31.697040557861328,5.736785888671875,9.007583618164062,38.40999984741211,17.873964309692383,54.81930160522461,21.303281784057617,40.81850814819336
2010-02-05,5.9504852294921875,31.642406463623047,5.768612384796143,9.051912307739258,37.62009811401367,17.760217666625977,54.35562515258789,21.44102668762207,40.72953414916992
2010-02-08,5.9096903800964355,31.35361671447754,5.803203105926514,9.007583618164062,37.92399978637695,17.613033294677734,53.656612396240234,21.21146011352539,40.353111267089844
2010-02-09,5.972710132598877,31.40824317932129,5.948491096496582,8.910061836242676,38.38999938964844,18.0679931640625,54.48020935058594,21.43337059020996,41.09911346435547
2010-02-10,5.940134048461914,31.236539840698242,5.92911958694458,8.954392433166504,37.9900016784668,17.99439239501953,54.410980224609375,21.418066024780273,41.32497024536133
2010-02-11,6.048209190368652,31.431659698486328,6.032896041870117,9.814366340637207,38.13999938964844,18.138248443603516,55.5528678894043,21.517547607421875,41.87935256958008
2010-02-12,6.100266456604004,31.60337257385254,6.074406147003174,9.849830627441406,38.13999938964844,18.057947158813477,54.79853439331055,21.372154235839844,41.69456481933594
2010-02-16,6.1922078132629395,31.876554489135742,6.084091663360596,9.761173248291016,38.31999969482422,18.338960647583008,55.69131851196289,21.794984817504883,41.96147918701172
2010-02-17,6.166332244873047,31.837543487548828,6.0439653396606445,9.885293006896973,38.31999969482422,18.50956916809082,55.82715606689453,21.979488372802734,42.50901794433594
2010-02-18,6.177897930145264,32.243408203125,6.1560468673706055,9.750494003295898,38.43000030517578,18.703598022460938,56.50288772583008,22.271625518798828,42.79646301269531
2010-02-19,6.13953971862793,31.899965286254883,6.182335376739502,9.696573257446289,38.31999969482422,18.640037536621094,56.78849411010742,22.117868423461914,42.88545608520508
