Date,CL,GC
2009-12-31,30.057973861694336,3.7799999713897705
2010-01-04,30.314090728759766,3.7799999713897705
2010-01-05,30.559247970581055,3.7799999713897705
2010-01-06,30.489721298217773,3.7799999713897705
2010-01-07,30.368980407714844,3.7799999713897705
2010-01-08,29.823816299438477,3.799999952316284
2010-01-11,29.69209098815918,3.799999952316284
2010-01-12,29.520124435424805,3.799999952316284
2010-01-13,29.659160614013672,3.799999952316284
2010-01-14,29.424991607666016,3.7799999713897705
2010-01-15,29.271312713623047,3.8399999141693115
2010-01-19,29.487178802490234,4.059999942779541
2010-01-20,28.982248306274414,3.799999952316284
2010-01-21,29.092639923095703,3.9000000953674316
2010-01-22,29.69605255126953,3.9000000953674316
2010-01-25,29.60775375366211,3.7200000286102295
2010-01-26,29.57462501525879,4.0
2010-01-27,29.578310012817383,3.8399999141693115
2010-01-28,29.431133270263672,3.700000047683716
2010-01-29,29.44585609436035,3.700000047683716
2010-02-01,29.412738800048828,3.759999990463257
2010-02-02,29.821151733398438,3.740000009536743
2010-02-03,29.73651885986328,3.700000047683716
2010-02-04,29.313398361206055,4.0
2010-02-05,29.16254425048828,3.759999990463257
2010-02-08,29.09998893737793,3.5999999046325684
2010-02-09,29.49736213684082,3.700000047683716
2010-02-10,29.36858558654785,3.759999990463257
2010-02-11,29.556238174438477,3.759999990463257
2010-02-12,29.30971908569336,3.799999952316284
2010-02-16,29.662944793701172,3.819999933242798
2010-02-17,29.8763370513916,3.8399999141693115
2010-02-18,30.33257484436035,3.8399999141693115
2010-02-19,30.078697204589844,3.799999952316284
2010-02-22,30.200105667114258,3.819999933242798
2010-02-23,30.13020896911621,3.819999933242798
2010-02-24,30.52390480041504,4.480000019073486
2010-02-25,30.57908821105957,3.9000000953674316
2010-02-26,30.516536712646484,3.9000000953674316
2010-03-01,30.82929229736328,
2010-03-02,30.855045318603516,3.9200000762939453
2010-03-03,30.855045318603516,4.0
2010-03-04,30.965431213378906,4.0
2010-03-05,30.98381996154785,4.019999980926514
2010-03-08,30.888160705566406,4.059999942779541
2010-03-09,31.09052848815918,4.0
2010-03-10,30.75202178955078,4.019999980926514
2010-03-11,30.93597984313965,4.019999980926514
2010-03-12,30.96175193786621,4.019999980926514
2010-03-15,31.042694091796875,4.019999980926514
2010-03-16,31.13467025756836,4.079999923706055
2010-03-17,31.138349533081055,4.099999904632568
2010-03-18,31.189855575561523,4.159999847412109
2010-03-19,31.21561050415039,4.099999904632568
2010-03-22,31.256092071533203,4.139999866485596
2010-03-23,31.39958953857422,4.159999847412109
2010-03-24,31.031652450561523,4.199999809265137
2010-03-25,30.68948745727539,4.179999828338623
2010-03-26,31.06845474243164,4.300000190734863
2010-03-29,31.267133712768555,4.340000152587891
2010-03-30,31.4437313079834,4.340000152587891
2010-03-31,31.37016487121582,4.679999828338623
2010-04-01,31.572519302368164,4.800000190734863
2010-04-05,31.502607345581055,4.78000020980835
2010-04-06,31.248743057250977,
2010-04-07,31.314956665039062,4.800000190734863
2010-04-08,31.11260986328125,4.739999771118164
2010-04-09,31.005897521972656,4.739999771118164
2010-04-12,31.19722557067871,4.71999979019165
2010-04-13,31.10892105102539,
2010-04-14,31.14202117919922,
2010-04-15,30.998538970947266,
2010-04-16,30.998538970947266,4.21999979019165
2010-04-19,30.96175193786621,4.360000133514404
2010-04-20,31.105234146118164,4.360000133514404
2010-04-21,31.164106369018555,4.739999771118164
2010-04-22,31.093761444091797,4.78000020980835
2010-04-23,30.830888748168945,4.760000228881836
2010-04-26,31.175212860107422,4.699999809265137
2010-04-27,30.949365615844727,4.760000228881836
2010-04-28,31.47140884399414,4.760000228881836
2010-04-29,31.397371292114258,4.739999771118164
2010-04-30,31.138193130493164,4.760000228881836
2010-05-03,31.201143264770508,
2010-05-04,30.682788848876953,4.760000228881836
2010-05-05,30.62724494934082,
2010-05-06,30.275516510009766,4.699999809265137
2010-05-07,29.697912216186523,4.820000171661377
2010-05-10,30.797569274902344,4.800000190734863
2010-05-11,30.667972564697266,4.820000171661377
2010-05-12,30.934558868408203,4.820000171661377
2010-05-13,30.779048919677734,5.050000190734863
2010-05-14,30.642061233520508,5.050000190734863
2010-05-17,31.030813217163086,5.0
2010-05-18,30.786441802978516,5.0
2010-05-19,30.41619873046875,5.050000190734863
2010-05-20,29.73123550415039,
2010-05-21,29.46836280822754,
2010-05-24,29.149940490722656,4.900000095367432
2010-05-25,29.00184440612793,4.900000095367432
2010-05-26,28.87224769592285,4.900000095367432
2010-05-27,29.16473960876465,5.050000190734863
2010-05-28,28.912979125976562,
2010-06-01,28.483497619628906,5.0
2010-06-02,28.961103439331055,5.0
2010-06-03,29.20547103881836,5.0
2010-06-04,28.598262786865234,5.0
2010-06-07,28.746376037597656,5.0
2010-06-08,29.161035537719727,5.0
2010-06-09,29.146240234375,5.0
2010-06-10,29.423927307128906,4.940000057220459
2010-06-11,29.305452346801758,5.0
2010-06-14,29.368385314941406,5.0
2010-06-15,29.92005729675293,5.099999904632568
2010-06-16,29.853425979614258,5.050000190734863
2010-06-17,29.953388214111328,5.050000190734863
2010-06-18,29.838592529296875,5.150000095367432
2010-06-21,30.049657821655273,5.099999904632568
2010-06-22,29.96818733215332,5.150000095367432
2010-06-23,29.74234962463379,5.199999809265137
2010-06-24,29.738645553588867,5.150000095367432
2010-06-25,29.261018753051758,5.150000095367432
2010-06-28,29.338773727416992,5.25
2010-06-29,28.879648208618164,5.25
2010-06-30,29.161035537719727,5.300000190734863
2010-07-01,29.1906681060791,
2010-07-02,29.146240234375,5.150000095367432
